"name","industry","growth_%","workers","previous_workers"
Tier4 Group,Business Products & Services,1729.3981,0.0,3
AdFicient,Advertising & Marketing,1264.9067,3.0,4
Powerful Professionals,Business Products & Services,935.0348,5.0,13
Quantico Tactical,Government Services,831.3181,37.0,80
Peaxy,Software,817.2645,20.0,46
Driftless Glen Distillery,Food & Beverage,685.1916,50.0,60
Prime Therapeutics,Health,390.5654,3300.0,3900
"360 Risk Partners Insurance Solutions",Insurance,365.3979,5.0,9
WealthForge,Financial Services,359.1601,29.0,44
Catalyst Outdoor,Advertising & Marketing,357.7971,15.0,20
